Date,Departure,Destination,Airline,Price,Departure Time,Arrival Time,Stops,Duration,Flight Type
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Multiple Airlines,4067,15:40,13:40+1,2 stops,29h 00m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Austrian Airlines, United Airlines",4067,15:40,13:40+1,2 stops,29h 00m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,4075,17:10,13:20+1,2 stops,27h 10m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,4109,17:10,13:40+1,2 stops,27h 30m,Refundable Main
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,4109,17:10,13:40+1,2 stops,27h 30m,Economy (partially refundable)
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,4138,17:10,13:40+1,2 stops,27h 30m,Economy Basic Plus
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,4343,17:10,13:40+1,2 stops,27h 30m,Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,ITA Airways,4466,04:45,18:50,1 stop,21h 05m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Austrian Airlines, Air Canada",4514,06:05,22:21,2 stops,23h 16m,Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Iberia,4577,06:55,21:15,1 stop,21h 20m,Latitude
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,United Airlines,4584,07:00,22:21,2 stops,22h 21m,Basic Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Lufthansa, Air Canada",4601,07:00,22:21,2 stops,22h 21m,Economy Basic Plus
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,ITA Airways,4689,04:45,14:25,1 stop,16h 40m,Economy Basic Plus
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"EL AL, Air Europa",4790,03:30,12:55,1 stop,16h 25m,Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"SWISS, United Airlines",5304,05:20,13:05,1 stop,14h 45m,Latitude
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"SWISS, United Airlines",5304,05:20,16:15,1 stop,17h 55m,Basic Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2754,00:10,08:15+1,1 stop,39h 05m,Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2754,23:55,08:15+2,1 stop,39h 20m,Latitude
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2754,23:45,08:15+2,1 stop,39h 30m,Basic Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2901,00:10,19:00+1,2 stops,49h 50m,Economy Basic Plus
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2901,00:10,19:00+1,2 stops,49h 50m,Economy Basic Plus
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2901,23:55,19:00+2,2 stops,50h 05m,Economy Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2901,23:55,19:00+2,2 stops,50h 05m,Basic Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2901,23:45,19:00+2,2 stops,50h 15m,Economy Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2901,23:45,19:00+2,2 stops,50h 15m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,3089,11:50,19:00+1,2 stops,38h 10m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,3089,09:55,19:00+1,2 stops,40h 05m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,3236,09:55,19:00+1,2 stops,40h 05m,Economy (partially refundable)
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Ethiopian Air,3553,09:00,19:00+1,2 stops,41h 00m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Ethiopian Air,3576,09:00,19:00+1,1 stop,41h 00m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Virgin Atlantic,3588,06:50,12:35+1,1 stop,36h 45m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Virgin Atlantic,3610,06:50,13:55+1,1 stop,38h 05m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3818,21:25,22:00+1,1 stop,31h 35m,Economy Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Air Canada,3833,11:55,12:41+1,1 stop,31h 46m,Economy Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,21:00,22:00+1,1 stop,32h 00m,Economy Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,15:20,18:10+1,1 stop,33h 50m,Economy Basic
